,name,label,first_letter,last_letter,vowel_count,first_vowel,is_odd_length,is_vowel_count_odd,is_vowel_present
0,Amira,0,a,a,3,a,True,True,True
1,Kawkab,1,k,b,2,a,False,False,True
2,Faheem,1,f,m,3,a,False,True,True
3,Faisal,1,f,l,3,a,False,True,True
4,Adam,0,a,m,2,a,False,False,True
5,Omar,0,o,r,2,o,False,False,True
6,Layla,1,l,a,2,a,True,False,True
7,Dawud,1,d,d,2,a,True,False,True
8,Bashir,1,b,r,2,a,False,False,True
9,Afeefah,0,a,h,4,a,True,False,True
10,Asim,0,a,m,2,a,False,False,True
11,Ismail,0,i,l,3,i,False,True,True
12,Hussein,1,h,n,3,u,True,True,True
13,Bushra,1,b,a,2,u,False,False,True
14,Nida,1,n,a,2,i,False,False,True
15,Iman,0,i,n,2,i,False,False,True
16,Hala,1,h,a,2,a,False,False,True
17,Naeema,1,n,a,4,a,False,False,True
18,Fareed,1,f,d,3,a,False,True,True
19,Shakir,0,s,r,2,a,False,False,True
20,Ghaliya,0,g,a,3,a,True,True,True
21,BadrUddin,1,b,n,3,a,True,True,True
22,Aneesa,0,a,a,4,a,False,False,True
23,Sharifa,0,s,a,3,a,True,True,True
24,Aakifa,1,a,a,4,a,False,False,True
25,Ubaid,0,u,d,3,u,True,True,True
26,Husna,1,h,a,2,u,True,False,True
27,Arif,0,a,f,2,a,False,False,True
28,Safa,1,s,a,2,a,False,False,True
29,Faris,1,f,s,2,a,True,False,True
30,Aamir,1,a,r,3,a,True,True,True
31,Farida,1,f,a,3,a,False,True,True
32,Shahid,0,s,d,2,a,False,False,True
33,Huda,1,h,a,2,u,False,False,True
34,Mujtaba,1,m,a,3,u,True,True,True
35,Eisa,1,e,a,3,e,False,True,True
36,Nadia,1,n,a,3,a,True,True,True
37,Afra,0,a,a,2,a,False,False,True
38,Sharif,0,s,f,2,a,False,False,True
39,Aziza,0,a,a,3,a,True,True,True
40,Umair,0,u,r,3,u,True,True,True
41,Ahmad,0,a,d,2,a,True,False,True
42,Irfan,0,i,n,2,i,True,False,True
43,Shuaib,0,s,b,3,u,False,True,True
44,Amal,0,a,l,2,a,False,False,True
45,Murad,1,m,d,2,u,True,False,True
46,Furqan,1,f,n,2,u,False,False,True
47,Abida,0,a,a,3,a,True,True,True
48,Muneeb,1,m,b,3,u,False,True,True
49,Khadijah,0,k,h,3,a,False,True,True
50,Abeer,0,a,r,3,a,True,True,True
51,Areej,0,a,j,3,a,True,True,True
52,Habib,1,h,b,2,a,True,False,True
53,Urwa,0,u,a,2,u,False,False,True
54,Aida,1,a,a,3,a,False,True,True
55,Afia,0,a,a,3,a,False,True,True
56,Adeeb,0,a,b,3,a,True,True,True
57,Noor,1,n,r,2,o,False,False,True
58,Iffat,0,i,t,2,i,True,False,True
59,Nafisa,1,n,a,3,a,False,True,True
60,Farhan,1,f,n,2,a,False,False,True
61,Aatika,1,a,a,4,a,False,False,True
62,Burhan,1,b,n,2,u,False,False,True
63,Maleeha,1,m,a,4,a,True,False,True
64,Munira,1,m,a,3,u,False,True,True
65,Zeenat,1,z,t,3,e,False,True,True
66,Maymouna,1,m,a,4,a,False,False,True
67,Saadiya,1,s,a,4,a,True,False,True
68,Inaya,0,i,a,3,i,True,True,True
69,Firdous,1,f,s,3,i,True,True,True
70,Khalida,0,k,a,3,a,True,True,True
71,Luqman,1,l,n,2,u,False,False,True
72,Almas,0,a,s,2,a,True,False,True
73,Qamar,1,q,r,2,a,True,False,True
74,Abeer,0,a,r,3,a,True,True,True
75,Uqbah,0,u,h,2,u,True,False,True
76,Falak,1,f,k,2,a,True,False,True
77,AbdulAlim,0,a,m,4,a,True,False,True
78,Arshad,0,a,d,2,a,False,False,True
79,Azra,0,a,a,2,a,False,False,True
80,Amjad,0,a,d,2,a,True,False,True
81,Khawlah,0,k,h,2,a,True,False,True
82,Akram,0,a,m,2,a,True,False,True
83,Hadiyya,1,h,a,3,a,True,True,True
84,Asiyah,0,a,h,3,a,False,True,True
85,Hashim,1,h,m,2,a,False,False,True
86,Jamila,1,j,a,3,a,False,True,True
87,Ajmal,0,a,l,2,a,True,False,True
88,Anas,0,a,s,2,a,False,False,True
89,Adeela,0,a,a,4,a,False,False,True
90,Aqeel,0,a,l,3,a,True,True,True
91,Raniya,1,r,a,3,a,False,True,True
92,Munir,1,m,r,2,u,True,False,True
93,Maha,1,m,a,2,a,False,False,True
94,Imran,0,i,n,2,i,True,False,True
95,Asma,0,a,a,2,a,False,False,True
96,Hamza,1,h,a,2,a,True,False,True
97,Bilal,1,b,l,2,i,True,False,True
98,Anees,0,a,s,3,a,True,True,True
99,Amina,0,a,a,3,a,True,True,True
